Age,Weight,Maturity,Vulnerability,M,R0,h
1,0.014514176,0.005468399,0.036261919,0.35,3.505041,0.75
2,0.042231692,0.036348653,0.442038807,,,
3,0.100220341,0.391114655,0.953383076,,,
4,0.154385227,0.88567802,0.971243836,,,
5,0.195637932,0.984108285,0.981632314,,,
6,0.229635088,0.996532369,0.979759309,,,
7,0.258843108,0.998976731,0.973618624,,,
8,0.284097393,0.999664074,0.965969679,,,
9,0.304429102,0.999885246,0.959490608,,,
10,0.319882384,0.999960036,0.954748332,,,
11_plus,0.335993044,0.999985926,0.951256924,,,
